seriesName,startTime,value,endTime
304,2026-02-12T01:00:00Z,1,2026-02-12T01:59:59Z
304,2026-02-12T02:00:00Z,0,2026-02-12T02:59:59Z
304,2026-02-12T03:00:00Z,0,2026-02-12T03:59:59Z
304,2026-02-12T04:00:00Z,8,2026-02-12T04:59:59Z
304,2026-02-12T05:00:00Z,0,2026-02-12T05:59:59Z
304,2026-02-12T06:00:00Z,0,2026-02-12T06:59:59Z
304,2026-02-12T07:00:00Z,0,2026-02-12T07:59:59Z
304,2026-02-12T08:00:00Z,0,2026-02-12T08:59:59Z
304,2026-02-12T09:00:00Z,0,2026-02-12T09:59:59Z
304,2026-02-12T10:00:00Z,1,2026-02-12T10:59:59Z
304,2026-02-12T11:00:00Z,0,2026-02-12T11:59:59Z
304,2026-02-12T12:00:00Z,0,2026-02-12T12:59:59Z
304,2026-02-12T13:00:00Z,0,2026-02-12T13:59:59Z
304,2026-02-12T14:00:00Z,0,2026-02-12T14:59:59Z
304,2026-02-12T15:00:00Z,0,2026-02-12T15:59:59Z
304,2026-02-12T16:00:00Z,5,2026-02-12T16:59:59Z
304,2026-02-12T17:00:00Z,13,2026-02-12T17:59:59Z
304,2026-02-12T18:00:00Z,0,2026-02-12T18:59:59Z
304,2026-02-12T19:00:00Z,0,2026-02-12T19:59:59Z
304,2026-02-12T20:00:00Z,0,2026-02-12T20:59:59Z
304,2026-02-12T21:00:00Z,5,2026-02-12T21:59:59Z
304,2026-02-12T22:00:00Z,0,2026-02-12T22:59:59Z
304,2026-02-12T23:00:00Z,1,2026-02-12T23:59:59Z
304,2026-02-13T00:00:00Z,1,2026-02-13T00:59:59Z
304,2026-02-13T01:00:00Z,0,2026-02-13T01:59:59Z
304,2026-02-13T02:00:00Z,0,2026-02-13T02:59:59Z
304,2026-02-13T03:00:00Z,0,2026-02-13T03:59:59Z
304,2026-02-13T04:00:00Z,1,2026-02-13T04:59:59Z
304,2026-02-13T05:00:00Z,0,2026-02-13T05:59:59Z
304,2026-02-13T06:00:00Z,0,2026-02-13T06:59:59Z
304,2026-02-13T07:00:00Z,0,2026-02-13T07:59:59Z
